"TF","Peaks File","HOCOMOCO score"
"ATF1","ENCFF539RBU","b"
"ATF2","ENCFF207FUE","b"
"ATF3","ENCFF011BHF","a"
"ATF4","ENCFF771LVW","a"
"BACH1","ENCFF416UYQ","a"
"CEBPB","ENCFF196UZE","a"
"CEBPG","ENCFF936UGT","b"
"CTCF","ENCFF901CBP","a"
"CUX1","ENCFF317FDT","c"
"E2F1","ENCFF634VUQ","a"
"E2F5","ENCFF082QHP","b"
"E2F6","ENCFF160TXQ","a"
"E2F7","ENCFF910WWV","b"
"EGR1","ENCFF136DDO","a"
"ELF1","ENCFF667LOH","a"
"ELK1","ENCFF408WSW","b"
"ETS1","ENCFF461PRP","a"
"ETV1","ENCFF065RZP","a"
"ETV5","ENCFF543NUM","c"
"FOSL1","ENCFF503LMD","a"
"FOXJ2","ENCFF812WVH","c"
"FOXM1","ENCFF805OCR","a"
"GABPA","ENCFF554UPA","a"
"GATA1","ENCFF875JHB","a"
"HINFP","ENCFF826QOG","c"
"IKZF1","ENCFF847SXQ","c"
"IRF2","ENCFF326LKJ","a"
"JUN","ENCFF905NMP","a"
"KLF1","ENCFF583PGH","a"
"LEF1","ENCFF299RMS","a"
"MAFF","ENCFF003UXM","b"
"MAFG","ENCFF493DXA","a"
"MAFK","ENCFF216COR","a"
"MAX","ENCFF448ZSO","a"
"MBD2","ENCFF768YPD","b"
"MEIS2","ENCFF023KAG","b"
"MITF","ENCFF830UEH","a"
"MXI1","ENCFF457COE","a"
"MYC","ENCFF196VRG","a"
"NFE2","ENCFF145JGI","a"
"NFIC","ENCFF132TXF","a"
"NR2C1","ENCFF623IIE","c"
"NR2C2","ENCFF914QSN","b"
"NRF1","ENCFF777PKJ","a"
"PBX2","ENCFF270VUX","c"
"REST","ENCFF418BWE","a"
"RFX1","ENCFF678NAO","b"
"RFX5","ENCFF436JKE","a"
"RUNX1","ENCFF049YPY","a"
"SPI1","ENCFF456BUE","a"
"SRF","ENCFF243XDG","a"
"TAL1","ENCFF412EVD","a"
"TBP","ENCFF609UTS","a"
"TCF7","ENCFF357AHH","a"
"TEAD4","ENCFF779ZST","a"
"TFDP1","ENCFF701EYT","c"
"THAP1","ENCFF144DMD","c"
"USF2","ENCFF602YIK","a"
"ZFX","ENCFF243WYZ","a"
"ZNF76","ENCFF609GNZ","c"
"SMAD3","ENCFF718DSJ","b"
"TEAD1","ENCFF675VKN","a"
"TFE3","ENCFF688ZWT","b"
"E2F3","ENCFF089YJA","a"
"FOXA3","ENCFF504WWL","b"
"JUND","ENCFF826HDC","a"
"KLF6","ENCFF723JNI","a"
"MAZ","ENCFF014UGE","a"
"SP1","ENCFF440HZQ","a"
"ZNF41","ENCFF629EAD","c"
"MEF2D","ENCFF242ULW","a"
"STAT2","ENCFF204VQS","a"
"VEZF1","ENCFF479WKB","c"
